principal component 1;principal component 2;Label
-0.122302881;-0.018641575;BallFault
-0.115300888;-0.017504936;BallFault
-0.126718939;-0.016975573;BallFault
-0.096205864;-0.014625511;BallFault
-0.11562718;-0.015725416;BallFault
-0.094297026;-0.01410607;BallFault
-0.112348426;-0.014778552;BallFault
-0.102380459;-0.013688204;BallFault
-0.128841445;-0.0139026;BallFault
-0.120291058;-0.013437182;BallFault
-0.094089075;-0.009212445;BallFault
-0.091126566;-0.009246836;BallFault
-0.095382503;-0.01051878;BallFault
-0.107053646;-0.012178008;BallFault
-0.102658481;-0.012262086;BallFault
-0.07405479;-0.011301249;BallFault
-0.10008732;-0.013632622;BallFault
-0.097113481;-0.01397745;BallFault
-0.1063374;-0.015336575;BallFault
-0.107178024;-0.016546711;BallFault
-0.093923129;-0.018871738;Healthy
-0.107668046;-0.018737747;Healthy
-0.099405669;-0.017666664;Healthy
-0.10310738;-0.017707216;Healthy
-0.075472836;-0.015192452;Healthy
-0.129828527;-0.01787956;Healthy
-0.087578475;-0.015326534;Healthy
-0.112807069;-0.017391027;Healthy
-0.090083425;-0.016423714;Healthy
-0.102421914;-0.017636321;Healthy
-0.090932402;-0.010912263;BallFault
-0.107156559;-0.011769439;BallFault
-0.095599653;-0.012060545;BallFault
-0.115161638;-0.014290844;BallFault
-0.095723446;-0.013177294;BallFault
-0.103021933;-0.014581297;BallFault
-0.109511759;-0.015897479;BallFault
-0.121694332;-0.017153419;BallFault
-0.108968226;-0.017555933;BallFault
-0.072227639;-0.016963841;BallFault
0.079856982;-0.002513273;OuterFault
0.061410119;-0.001198625;OuterFault
0.086609319;-0.003231081;OuterFault
0.017171517;-0.007479537;OuterFault
0.097350065;-0.003071434;OuterFault
-0.040554077;-0.013190965;OuterFault
-0.012500918;-0.011678583;OuterFault
-0.047739328;-0.014575023;OuterFault
-0.005707617;-0.009567815;OuterFault
0.107010076;-0.002411075;OuterFault
-0.11516739;-0.021148265;Healthy
-0.093232683;-0.018722391;Healthy
-0.083118384;-0.016785811;Healthy
-0.1131468;-0.018494544;Healthy
-0.103922252;-0.01771284;Healthy
-0.102616818;-0.016884511;Healthy
-0.102731064;-0.016377756;Healthy
-0.115581861;-0.016244385;Healthy
-0.09309248;-0.013793913;Healthy
-0.110362507;-0.015351603;Healthy
0.186770609;0.010834163;InnerFault
0.170224904;0.014791429;InnerFault
0.130684269;0.013844773;InnerFault
0.153654197;0.018414412;InnerFault
0.232032439;0.026996406;InnerFault
0.10753397;0.01689491;InnerFault
0.21196989;0.023836239;InnerFault
0.101394533;0.011631712;InnerFault
0.165884909;0.012937863;InnerFault
0.155580477;0.007125157;InnerFault
0.106191681;0.030047871;InnerFault
0.111488734;0.025879635;InnerFault
0.19489472;0.026951919;InnerFault
0.138406271;0.018661414;InnerFault
0.140827782;0.015425313;InnerFault
0.120063672;0.011982287;InnerFault
0.12462814;0.007936256;InnerFault
0.139551804;0.010139396;InnerFault
0.137891079;0.01226246;InnerFault
0.079679416;0.011808212;InnerFault
0.116840692;0.000859199;OuterFault
0.006295405;-0.006767346;OuterFault
0.042605898;-0.004426885;OuterFault
0.082775057;-0.001925573;OuterFault
0.068463342;-0.005674733;OuterFault
-0.051773557;-0.013575368;OuterFault
0.005473043;-0.010121278;OuterFault
-0.028129984;-0.013207887;OuterFault
-0.003263499;-0.01028904;OuterFault
0.124960036;-0.000363411;OuterFault
0.163868076;0.032676699;InnerFault
0.14289556;0.026117459;InnerFault
0.18014748;0.023731811;InnerFault
0.14420195;0.019082923;InnerFault
0.178372762;0.016852347;InnerFault
0.136614338;0.012271363;InnerFault
0.133532778;0.011712007;InnerFault
0.131353833;0.0097904;InnerFault
0.180546768;0.010850527;InnerFault
0.145794507;0.005154512;InnerFault
-0.099184476;-0.015794992;Healthy
-0.106813054;-0.016547075;Healthy
-0.117966673;-0.017666524;Healthy
-0.096846182;-0.016410705;Healthy
-0.090834841;-0.017004661;Healthy
-0.074172128;-0.016143649;Healthy
-0.107428972;-0.019488045;Healthy
-0.113175841;-0.020392571;Healthy
-0.092391286;-0.018298413;Healthy
-0.109842241;-0.0181869;Healthy
0.02608769;-0.005371689;OuterFault
0.054741163;-0.003179283;OuterFault
0.089647404;-0.003151655;OuterFault
0.002389462;-0.008256533;OuterFault
0.000535434;-0.010260473;OuterFault
-0.063974317;-0.015421654;OuterFault
-0.026154569;-0.013171381;OuterFault
-0.080345096;-0.015922132;OuterFault
-0.120355621;-0.01933275;OuterFault
-0.122966468;-0.020568334;OuterFault
0.139903938;0.008153045;InnerFault
0.111525668;0.010847884;InnerFault
0.128050349;0.014622511;InnerFault
0.183188538;0.023501818;InnerFault
0.189797509;0.025841086;InnerFault
0.151436213;0.02990199;InnerFault
0.166735281;0.031283358;InnerFault
0.277407126;0.03573842;InnerFault
0.18078911;0.021463038;InnerFault
0.173537582;0.017766123;InnerFault
0.210994578;0.028773185;InnerFault
0.152436011;0.020875491;InnerFault
0.142432108;0.015497217;InnerFault
0.154717846;0.014708177;InnerFault
0.145268147;0.010352425;InnerFault
0.100637987;0.009800208;InnerFault
0.129649977;0.015241954;InnerFault
0.146765475;0.018698551;InnerFault
0.199421488;0.02442792;InnerFault
0.16138549;0.029345936;InnerFault
-0.081594905;-0.015135925;Healthy
-0.09764465;-0.016543377;Healthy
-0.094305471;-0.016775109;Healthy
-0.053507441;-0.014210664;Healthy
-0.050943523;-0.013367337;Healthy
-0.112477259;-0.01948465;Healthy
-0.121259814;-0.020203157;Healthy
-0.105128157;-0.018302671;Healthy
-0.117124395;-0.018079603;Healthy
-0.126562567;-0.018376637;Healthy
-0.093663644;-0.018857703;Healthy
-0.111581826;-0.019565781;Healthy
-0.133079053;-0.019954144;Healthy
-0.100577223;-0.017786508;Healthy
-0.097278292;-0.015347415;Healthy
-0.122312556;-0.017473311;Healthy
-0.086694852;-0.014710142;Healthy
-0.066396379;-0.014089351;Healthy
-0.096436576;-0.015593743;Healthy
-0.11011345;-0.018157537;Healthy
-0.044926275;-0.014250624;OuterFault
-0.038705313;-0.013671121;OuterFault
0.074947055;-0.003514247;OuterFault
0.061559552;-0.005163086;OuterFault
0.093349727;-0.004014627;OuterFault
0.11379346;-0.001018085;OuterFault
0.049442433;-0.006898007;OuterFault
0.109876173;3.5631E-05;OuterFault
0.130586352;0.000154138;OuterFault
0.065446608;-0.00349778;OuterFault
0.130394793;0.026794179;InnerFault
0.194547284;0.025179653;InnerFault
0.177119196;0.021543339;InnerFault
0.14764935;0.016156189;InnerFault
0.118178671;0.012694375;InnerFault
0.121524189;0.009953398;InnerFault
0.152842354;0.008612915;InnerFault
0.142435547;0.00622893;InnerFault
0.160583113;0.003683856;InnerFault
0.183343167;0.004051541;InnerFault
-0.093083241;-0.014882509;Healthy
-0.066007687;-0.013095348;Healthy
-0.097516133;-0.015747022;Healthy
-0.097604713;-0.016657984;Healthy
-0.095866089;-0.016782203;Healthy
-0.087140081;-0.016664684;Healthy
-0.114559927;-0.01934552;Healthy
-0.111649638;-0.020044511;Healthy
-0.11844603;-0.021140704;Healthy
-0.120287805;-0.022033458;Healthy
-0.156509982;-0.020595256;OuterFault
-0.131404565;-0.018688773;OuterFault
-0.073436639;-0.013802672;OuterFault
0.01000585;-0.008441662;OuterFault
0.044315029;-0.005999216;OuterFault
0.055896651;-0.004255874;OuterFault
0.005581099;-0.007509596;OuterFault
0.051981804;-0.005133416;OuterFault
0.042655797;-0.004280598;OuterFault
0.079110906;-0.002222251;OuterFault
-0.057481352;-0.015754793;OuterFault
0.03159204;-0.008596642;OuterFault
0.028106714;-0.007963922;OuterFault
0.174519755;0.004298489;OuterFault
0.079442329;-0.003503258;OuterFault
0.139947328;0.002915952;OuterFault
0.057026986;-0.003233437;OuterFault
0.089963624;-0.001653593;OuterFault
0.031916517;-0.006875537;OuterFault
0.156710021;0.000727284;OuterFault
0.048733278;-0.003726282;OuterFault
0.025010063;-0.005400841;OuterFault
0.066067484;-0.001964969;OuterFault
0.028230985;-0.006590001;OuterFault
0.074285343;-0.005711362;OuterFault
-0.024951147;-0.011231667;OuterFault
-0.067229143;-0.016082653;OuterFault
-0.034973339;-0.014101779;OuterFault
-0.114537086;-0.019827278;OuterFault
-0.085921783;-0.0191965;OuterFault
-0.083066688;-0.016430825;OuterFault
-0.096398216;-0.016023709;OuterFault
-0.018401821;-0.011311539;OuterFault
0.033844256;-0.006129656;OuterFault
-0.034255735;-0.010998637;OuterFault
0.040913097;-0.005483871;OuterFault
0.077813867;0.000346284;OuterFault
0.017386492;-0.006585891;OuterFault
0.046454341;-0.00321472;OuterFault
0.059988421;-0.000863899;OuterFault
-0.647555112;0.220809556;InnerFault
-0.64483628;0.210702698;InnerFault
-0.642239101;0.2008789;InnerFault
-0.638499211;0.191759736;InnerFault
-0.632884096;0.183196811;InnerFault
-0.625412843;0.17523786;InnerFault
-0.621043452;0.167151258;InnerFault
-0.610780907;0.160029869;InnerFault
-0.598307827;0.153763872;InnerFault
-0.581775352;0.148121711;InnerFault
-0.099867843;-0.013334413;BallFault
-0.11196115;-0.014585331;BallFault
-0.090877906;-0.01383118;BallFault
-0.097745181;-0.015175022;BallFault
-0.098779168;-0.015116524;BallFault
-0.123089364;-0.017798611;BallFault
-0.09416796;-0.015362191;BallFault
-0.0977875;-0.014742096;BallFault
-0.101452643;-0.014499284;BallFault
-0.084514055;-0.012992153;BallFault
-0.093555819;-0.019518387;Healthy
-0.083655935;-0.01811234;Healthy
-0.087900559;-0.017727831;Healthy
-0.090709996;-0.017443718;Healthy
-0.103999883;-0.018852686;Healthy
-0.126543643;-0.01926156;Healthy
-0.091074149;-0.017059274;Healthy
-0.103335981;-0.017423427;Healthy
-0.114470875;-0.017678727;Healthy
-0.104244767;-0.017317544;Healthy
0.122858363;0.004297081;InnerFault
0.12108351;0.007478337;InnerFault
0.076794958;0.008205856;InnerFault
0.106922255;0.012653082;InnerFault
0.112173204;0.016537432;InnerFault
0.142140144;0.019253345;InnerFault
0.162059714;0.024122165;InnerFault
0.139745374;0.028260294;InnerFault
0.128950054;0.029501576;InnerFault
0.116962935;0.03036114;InnerFault
-0.079688942;-0.016324161;BallFault
-0.101142626;-0.016506063;BallFault
-0.092618826;-0.014510159;BallFault
0.125366734;0.017230089;BallFault
-0.09725131;-0.014076431;BallFault
-0.088043626;-0.012688969;BallFault
-0.107651102;-0.013978165;BallFault
-0.090950614;-0.013535703;BallFault
-0.102492082;-0.014300411;BallFault
-0.089600257;-0.014329995;BallFault
0.201117603;0.011176925;InnerFault
0.148106106;0.011357645;InnerFault
0.150120618;0.015055074;InnerFault
0.12264697;0.014689343;InnerFault
0.154920575;0.020877222;InnerFault
0.203738805;0.027607853;InnerFault
0.180385651;0.029482951;InnerFault
0.218975342;0.02709651;InnerFault
0.153592506;0.018956243;InnerFault
0.124596966;0.014443085;InnerFault
0.62402989;0.042751389;BallFault
0.656342993;0.046033589;BallFault
0.776588136;0.051996427;BallFault
0.646265401;0.042670114;BallFault
0.716975178;0.042859068;BallFault
0.727208067;0.044303031;BallFault
0.465478919;0.028303751;BallFault
0.624119703;0.037794546;BallFault
0.635511907;0.044798972;BallFault
0.843098635;0.058988508;BallFault
-0.066369227;-0.016104114;OuterFault
-0.001961394;-0.011095822;OuterFault
0.030889069;-0.007503677;OuterFault
0.08538263;-0.004469991;OuterFault
0.069211448;-0.004683538;OuterFault
0.092141018;-0.001769801;OuterFault
0.00144057;-0.007110521;OuterFault
0.035331164;-0.00457041;OuterFault
0.126869778;0.000875177;OuterFault
0.023745672;-0.007002983;OuterFault
-0.108772269;-0.014755617;Healthy
-0.09407188;-0.012378488;Healthy
-0.109975344;-0.015512032;Healthy
-0.059355393;-0.013027327;Healthy
-0.119017462;-0.017350489;Healthy
-0.117935341;-0.017299497;Healthy
-0.130334782;-0.018593302;Healthy
-0.088143332;-0.017092413;Healthy
-0.083098783;-0.017709261;Healthy
-0.107790678;-0.020055818;Healthy
-0.088162627;-0.017013314;OuterFault
0.017401157;-0.008740758;OuterFault
0.054711604;-0.005467112;OuterFault
0.078919044;-0.004178042;OuterFault
0.109150343;-0.002481221;OuterFault
0.107637934;-0.001231595;OuterFault
0.056235986;-0.004502248;OuterFault
0.045252912;-0.005992516;OuterFault
-0.009358796;-0.010165314;OuterFault
-0.021688834;-0.012986764;OuterFault
-0.123044002;-0.011521715;Healthy
-0.080938546;-0.009593381;Healthy
-0.025938607;-0.005906817;Healthy
-0.108473576;-0.014374072;Healthy
-0.083255583;-0.013012748;Healthy
-0.10027081;-0.015921128;Healthy
-0.11346374;-0.016255657;Healthy
-0.075356866;-0.012159444;Healthy
-0.095098196;-0.012750902;Healthy
-0.074124416;-0.009268406;Healthy
-0.112385541;-0.020157954;Healthy
-0.07994313;-0.017204647;Healthy
-0.075943211;-0.014462935;Healthy
-0.104407175;-0.017563202;Healthy
-0.087865622;-0.015450202;Healthy
-0.08022242;-0.01364581;Healthy
-0.085102682;-0.01453;Healthy
-0.092071584;-0.014457563;Healthy
-0.110514562;-0.016488194;Healthy
-0.102743558;-0.016615018;Healthy
0.164791442;0.034850309;InnerFault
0.155543984;0.026806458;InnerFault
0.165014082;0.023979059;InnerFault
0.139819589;0.018851464;InnerFault
0.17543868;0.017760821;InnerFault
0.115510593;0.010641662;InnerFault
0.149658903;0.011653926;InnerFault
0.154301237;0.012967234;InnerFault
0.122041399;0.013317323;InnerFault
0.127535819;0.016867541;InnerFault
0.72434085;0.047236956;BallFault
0.929081945;0.064020886;BallFault
0.427251997;0.030714232;BallFault
0.661283981;0.038374367;BallFault
-0.088027996;-0.016960772;BallFault
-0.09217778;-0.017206832;BallFault
-0.100872395;-0.017476929;BallFault
-0.108112406;-0.016615615;BallFault
0.044415098;-0.003322172;BallFault
-0.103539309;-0.015471777;BallFault
-0.101555702;-0.017957102;BallFault
-0.119139374;-0.018625507;BallFault
-0.091706838;-0.015503724;BallFault
-0.091409564;-0.01534957;BallFault
-0.103270341;-0.015123526;BallFault
-0.086634458;-0.013462721;BallFault
-0.093316113;-0.012721784;BallFault
-0.104039398;-0.012661568;BallFault
-0.106421923;-0.012719723;BallFault
-0.094896663;-0.010729413;BallFault
-0.110595086;-0.017422409;BallFault
-0.103192021;-0.015735796;BallFault
-0.107448957;-0.015252871;BallFault
-0.103196033;-0.014701608;BallFault
-0.11243784;-0.014610373;BallFault
-0.092093429;-0.013426333;BallFault
-0.105614496;-0.014440945;BallFault
-0.112036558;-0.015724586;BallFault
-0.127027685;-0.017408262;BallFault
-0.106394245;-0.017045035;BallFault
0.132501614;0.005465792;InnerFault
0.137463734;0.00711674;InnerFault
0.121111513;0.009746075;InnerFault
0.15465838;0.013670506;InnerFault
0.155127781;0.016947673;InnerFault
0.128597609;0.019807232;InnerFault
0.103507682;0.023593038;InnerFault
0.115852621;0.029188702;InnerFault
0.108610024;0.031807685;InnerFault
0.126197558;0.038723117;InnerFault
-0.103332472;-0.017913442;BallFault
-0.114303503;-0.01760462;BallFault
-0.116620629;-0.016677585;BallFault
-0.098843751;-0.015074639;BallFault
-0.119690488;-0.016042408;BallFault
-0.099428516;-0.014419701;BallFault
-0.120012095;-0.014621452;BallFault
-0.11529219;-0.013554693;BallFault
-0.11455586;-0.011903754;BallFault
-0.098275067;-0.01126726;BallFault
0.095623256;-0.000883029;OuterFault
0.042864576;-0.004341186;OuterFault
0.113955305;0.001872389;OuterFault
0.121946328;-0.000985968;OuterFault
-0.014284288;-0.009340091;OuterFault
0.056176381;-0.003952833;OuterFault
0.110864065;-0.001881518;OuterFault
0.079765241;-0.001586024;OuterFault
0.026676246;-0.005419232;OuterFault
0.041167467;-0.004232195;OuterFault
-0.106969511;-0.016184392;BallFault
-0.096462329;-0.015189722;BallFault
-0.105727124;-0.015116413;BallFault
-0.103668653;-0.013715888;BallFault
-0.095893067;-0.013157159;BallFault
-0.085809549;-0.012416872;BallFault
-0.107454146;-0.014925721;BallFault
-0.087601263;-0.014025006;BallFault
-0.104254547;-0.0150214;BallFault
-0.105145351;-0.016201561;BallFault
-0.107798959;-0.011974313;BallFault
-0.104312157;-0.012230913;BallFault
-0.101419613;-0.013570486;BallFault
-0.096933279;-0.013327971;BallFault
-0.12578457;-0.015650244;BallFault
-0.104408793;-0.015506361;BallFault
-0.101730751;-0.016787897;BallFault
-0.095279488;-0.016897478;BallFault
-0.107768234;-0.019045173;BallFault
-0.112413121;-0.020599695;BallFault
0.017100247;-0.004899663;OuterFault
0.078749315;-0.000265553;OuterFault
0.031557322;-0.006294296;OuterFault
0.027653365;-0.00614122;OuterFault
0.01012169;-0.008163433;OuterFault
-0.045024455;-0.012302314;OuterFault
-0.081555378;-0.016288493;OuterFault
-0.060433434;-0.015799061;OuterFault
-0.087337882;-0.01634251;OuterFault
-0.128537008;-0.021368094;OuterFault
-0.099288318;-0.014585638;Healthy
-0.139659671;-0.016436507;Healthy
-0.12298081;-0.015948815;Healthy
-0.106017754;-0.015947119;Healthy
-0.121321608;-0.017595348;Healthy
-0.117572193;-0.017883446;Healthy
-0.114412436;-0.018443525;Healthy
-0.113276454;-0.018916366;Healthy
-0.113509332;-0.019428206;Healthy
-0.119082433;-0.020904315;Healthy
0.160368978;0.036632118;InnerFault
0.149552609;0.031556268;InnerFault
0.145101958;0.027252809;InnerFault
0.233773862;0.027824219;InnerFault
0.156030856;0.019427985;InnerFault
0.173361197;0.01749111;InnerFault
0.125810058;0.011360172;InnerFault
0.124727335;0.009234663;InnerFault
0.175504842;0.007526295;InnerFault
0.179674104;0.005685299;InnerFault
-0.114399471;-0.020321261;Healthy
-0.106797829;-0.019146364;Healthy
-0.105979031;-0.018507769;Healthy
-0.111607734;-0.018553585;Healthy
-0.083533684;-0.016309103;Healthy
-0.119932539;-0.018148088;Healthy
-0.108706094;-0.017053389;Healthy
-0.104509595;-0.016104666;Healthy
-0.07298363;-0.012386878;Healthy
-0.104464425;-0.015714429;Healthy
